FLT_ID,EQ_ID,model,eq_name,fname,eq_date,magnitude,style,sof,region,rup_srl_narrow,rup_srl_wide,dip,seis_depth,lef,wef,stress_drop,stress_drop_asperity
3,83,Lower_width,sim_83,M7.6_W005,01/10/2022,7.747598,Strike-Slip,0,generic,316.3,393.75,90,15,212.71464418792,15.2384306295579,7.242976,5.71752720880664
3,84,Lower_width,sim_84,M7.5_W001,01/10/2022,7.67104,Strike-Slip,0,generic,226.65,292.3,90,15,121.734420329034,15.3809192506644,9.586836,8.14142435759319
3,85,Lower_width,sim_85,M7.5_W003,01/10/2022,7.647268,Strike-Slip,0,generic,197,218.05,90,15,138.262054538564,15.6447045420543,8.374402,6.59889186140736
3,86,Lower_width,sim_86,M7.5_W004,01/10/2022,7.530806,Strike-Slip,0,generic,176.45,182.6,90,15,145.674505494682,14.9124414272642,5.884241,4.78798433741311
3,87,Lower_width,sim_87,M7.5_W005,01/10/2022,6.723589,Strike-Slip,0,generic,20.75,26.95,90,15,20.8840937595546,15.9823195888453,7.314492,5.2185236621156
3,88,Lower_width,sim_88,M7.7_W001,01/10/2022,7.955801,Strike-Slip,0,generic,407.5,414.05,90,15,329.612855035492,15.4510677743383,8.586483,7.29346641027709
3,89,Lower_width,sim_89,M7.7_W002,01/10/2022,7.805903,Strike-Slip,0,generic,385.9,389.4,90,15,235.785609201105,14.9578459916576,7.829923,6.38752295364869
3,90,Lower_width,sim_90,M7.7_W003,01/10/2022,7.852703,Strike-Slip,0,generic,377.3,518.1,90,15,265.989574590884,14.8429093930974,7.927613,6.78288845908592
3,91,Lower_width,sim_91,M7.7_W004,01/10/2022,7.841793,Strike-Slip,0,generic,417.65,420.65,90,15,275.083372540402,14.9139903313413,7.273257,6.26739324632839
3,92,Lower_width,sim_92,M7.7_W005,01/10/2022,7.750845,Strike-Slip,0,generic,294.1,296.55,90,15,229.6732712323,14.0628207751989,9.240219,6.58135423502108
3,93,Lower_width,sim_93,M7.8_W002,01/10/2022,7.883745,Strike-Slip,0,generic,633.05,636.45,90,15,228.292416886711,14.3701005497455,10.546021,13.1100230829193
3,94,Lower_width,sim_94,M7.8_W003,01/10/2022,7.460005,Strike-Slip,0,generic,547.4,553.15,90,15,158.914226839666,15.1784719553912,5.486666,4.45367111077485
3,95,Lower_width,sim_95,M7.8_W005,01/10/2022,7.931869,Strike-Slip,0,generic,347.55,348.6,90,15,203.103477326951,14.7638354068338,19.419467,14.8132397189459
