FLT_ID,EQ_ID,eq_name,eq_date,region,magnitude,style,sof,flag_missing,flag_multiple,event_len,seis_depth,dip
1,26,Bohol,2013,Philippines,7.1,Reverse,1,1,0,48.2670998220267,22,45
1,27,Acambay,1912,Mexico,6.9,Normal-Oblique,-0.5,0,0,39.3361954092149,15,60
1,28,Imperial1940,1940,California,6.95,Strike-Slip,0,0,0,60.614554686305,15,90
1,29,Parkfield1966,1966,California,6.19,Strike-Slip,0,0,0,37.8128861253286,15,90
1,30,FairviewPeak,1954,Nevada,7.3,Normal-Oblique,-0.5,0,0,47.6384536215783,22,60
1,31,DixieValley,1954,Nevada,6.9,Normal,-1,0,0,37.8276836708664,22,60
1,32,GalwayLake,1975,California,5.2,Strike-Slip,0,0,0,6.90014730424626,15,90
1,33,Sonora,1887,Mexico,7.6,Normal-Oblique,-0.5,0,0,102.454562295142,15,60
1,34,PleasantValley,1915,Nevada,7.2,Normal,-1,0,0,61.1722015219671,22,60
1,35,Kern,1952,California,7.36,Reverse,1,0,0,29.493431230917,15,45
1,36,ChalfantValley,1986,California,6.19,Strike-Slip,0,0,0,14.2120681469395,15,90
1,37,Zirkuh,1997,Iran,7.2,Strike-Slip,0,0,0,120.547468962823,30,90
1,38,Petermann,2016,Australia,6,Reverse,1,0,0,18.7357996586559,40,45
1,39,OwensValley,1872,California,7.4,Normal-Oblique,-0.5,0,0,107.256106152373,15,60
1,40,LagunaSalada,1892,Mexico,7.76,Normal-Oblique,-0.5,0,0,44.9529589099552,15,60
1,41,Iwaki2011,2011,Japan,6.6,Normal,-1,0,0,14.1987990771,17,60
1,42,Ridgecrest1,2019,California,6.4,Strike-Slip,0,0,0,14.0055457533864,15,90
1,43,Ridgecrest2,2019,California,7.1,Strike-Slip,0,0,0,42.4593910354361,15,90
1,44,ElAsnam,1980,Algeria,7.3,Reverse,1,0,0,33.5573402260795,22,45
1,45,Cadoux,1979,Australia,6.1,Reverse,1,0,0,14.2993839763785,40,45
1,46,Calingiri,1970,Australia,5.03,Reverse,1,0,0,3.27683647602417,40,45
1,47,MarryatCreek,1986,Australia,5.7,Reverse,1,0,0,13.0305888204089,40,45
1,48,Meckering,1968,Australia,6.59,Reverse,1,0,0,35.0901480440907,40,45
1,49,Pukatja,2012,Australia,5.18,Reverse,1,0,0,1.27739273726787,40,45
1,50,TennantCreek1,1988,Australia,6.27,Reverse,1,0,0,8.25658686647018,40,45
1,51,TennantCreek2,1988,Australia,6.44,Reverse,1,0,0,7.80124274551799,40,45
1,52,TennantCreek3,1988,Australia,6.58,Reverse,1,0,0,14.6220086017469,40,45
1,53,SanMiguel,1956,Mexico,6.8,Strike-Slip,0,0,0,17.1666718365651,15,90
1,54,Yutian,2014,China,6.9,Strike-Slip,0,0,0,30.733401208488,22,90
1,55,Luzon,1990,Philippines,7.7,Strike-Slip,0,0,0,117.747965187163,22,90
1,56,BorahPeak,1983,Idaho,6.88,Normal,-1,0,0,34.3528897863504,22,60
1,57,ElmoreRanch,1987,California,6.22,Strike-Slip,0,0,0,8.9005680482028,15,90
1,58,Pisayambo,2010,Ecuador,5,Strike-Slip,0,0,0,9.10259859328934,22,90
1,59,Rikuu,1896,Japan,6.7,Reverse,1,0,0,20.4417788391086,17,45
1,60,Mikawa,1945,Japan,6.6,Reverse,1,0,0,16.5742453096868,17,45
